page_no,price,beds,baths,house_area,id,address
14,198900,4,4,2280,zpid_10291292,"5319 Castor Ave, Philadelphia, PA"
14,255000,3,3,1182,zpid_10275475,"5843 Henry Ave, Philadelphia, PA"
14,168000,2,1,1127,zpid_10525415,"9209 Wesleyan Rd, Philadelphia, PA"
14,279000,2,1,1065,zpid_10257485,"1335 E Hewson St, Philadelphia, PA"
14,50000,2,2,57353,zpid_2084822150,"6138 Wayne Ave APT 4, Philadelphia, PA"
14,229900,2,2,940,zpid_10522293,"8813 Danbury St, Philadelphia, PA"
14,197000,3,2,980,zpid_10385194,"2320 S Lee St, Philadelphia, PA"
14,318500,2,2,1200,zpid_165607536,"1165 Gerritt St, Philadelphia, PA"
14,264900,3,3,1740,zpid_10459542,"3132 Tasker St, Philadelphia, PA"
14,49900,4,2,1807,zpid_10190922,"5533 Media St, Philadelphia, PA"
14,255000,2,1,784,zpid_10371357,"1161 S Mole St, Philadelphia, PA"
14,274500,3,2,2000,zpid_10530362,"1030 Tomlinson Rd, Philadelphia, PA"
14,159900,3,2,1182,zpid_10554711,"2125 Stevens St, Philadelphia, PA"
16,575000,3,3,2526,zpid_80953650,"412 Fairmount Ave, Philadelphia, PA"
16,169900,3,1,1280,zpid_10368128,"1607 S 24th St, Philadelphia, PA"
16,155000,4,2,1214,zpid_10543548,"5735 Larchwood Ave, Philadelphia, PA"
16,145000,2,1,1040,zpid_10269576,"4508 Ritchie St, Philadelphia, PA"
16,209000,3,3,1280,zpid_10233770,"421 W School House Ln UNIT 32, Philadelphia, PA"
16,290000,3,2,1120,zpid_10293107,"3935 Mount Vernon St, Philadelphia, PA"
16,675000,3,3,1344,zpid_10322168,"520 S 24th St, Philadelphia, PA"
16,189900,2,2,1242,zpid_10469277,"7639 Williams Ave, Philadelphia, PA"
16,495000,6,4,3569,zpid_10285172,"7031 Mccallum St, Philadelphia, PA"
16,199900,3,2,1440,zpid_165377278,"1925 Rhawn St, Philadelphia, PA"
16,610000,3,3,2406,zpid_2086323809,"1302 S Woodstock St, Philadelphia, PA"
16,799900,3,2,2684,zpid_2084951122,"2012 Addison (aka 2013 Lombard) St, Philadelphia, PA"
16,799000,3,3,2997,zpid_10182698,"1205 Kater St, Philadelphia, PA"
16,849000,5,3,4166,zpid_10213442,"9506 Wheelpump Ln, Philadelphia, PA"
16,98000,3,1,990,zpid_10551923,"6050 N Philip St, Philadelphia, PA"
16,94999,4,2,1908,zpid_10446169,"2031 E Tioga St, Philadelphia, PA"
16,299000,2,1,756,zpid_10177383,"605 Kimball St, Philadelphia, PA"
16,170000,2,1,731,zpid_10180090,"1146 S Clifton St, Philadelphia, PA"
16,179900,3,2,1284,zpid_10386097,"2018 S 3rd St, Philadelphia, PA"
16,103000,3,2,1400,zpid_10573956,"7103 Keystone St, Philadelphia, PA"
16,289000,5,2,2010,zpid_10540186,"4922 Chancellor St, Philadelphia, PA"
16,210000,2,2,880,zpid_10532077,"10661 Halstead St, Philadelphia, PA"
16,224900,3,2,1220,zpid_10473417,"1631 Woodbrook Ln, Philadelphia, PA"
17,729900,4,3,3172,zpid_10214588,"318 W Moreland Ave, Philadelphia, PA"
17,374900,4,3,2160,zpid_80946776,"3837 Chalfont Dr, Philadelphia, PA"
17,455000,6,4,2694,zpid_2125068719,"5000 Hazel Ave, Philadelphia, PA"
17,399000,4,2,1575,zpid_10244401,"1931 Brown St, Philadelphia, PA"
17,279900,2,2,1700,zpid_10172107,"1422 S Orianna St, Philadelphia, PA"
17,1095000,5,4,4018,zpid_10212748,"400 E Evergreen Ave, Philadelphia, PA"
17,269900,3,2,1056,zpid_10399181,"2738 S 11th St, Philadelphia, PA"
17,239900,4,2,1800,zpid_10522930,"3032 Holme Ave, Philadelphia, PA"
17,229000,3,2,1260,zpid_10579128,"3637 N Hereford Ln, Philadelphia, PA"
17,199900,3,1,702,zpid_10256618,"1208 E Columbia Ave, Philadelphia, PA"
17,382500,3,3,1871,zpid_80944731,"9318 Laramie Rd, Philadelphia, PA"
17,267900,3,2,1698,zpid_10534808,"15032 Milford St, Philadelphia, PA"
17,219900,3,4,1040,zpid_10562832,"7947 Bingham St, Philadelphia, PA"
17,1200000,3,3,3881,zpid_10604410,"2009 Spruce St # C, Philadelphia, PA"
17,219900,3,2,1066,zpid_10519192,"8399 Langdon St, Philadelphia, PA"
17,425000,2,2,1194,zpid_80947773,"6-10 S Strawberry St # 9, Philadelphia, PA"
17,168800,3,2,1140,zpid_10408418,"7519 Buist Ave, Philadelphia, PA"
17,369900,3,2,1800,zpid_10284799,"616 Glen Echo Rd, Philadelphia, PA"
17,379900,3,2,1274,zpid_10173234,"631 Earp St, Philadelphia, PA"
17,2095000,7,8,9003,zpid_2106843233,"240 S 4th St, Philadelphia, PA"
17,795000,5,6,4632,zpid_10566127,"10 Flagstaff Pl, Philadelphia, PA"
18,140000,2,1,960,zpid_10450848,"4439 E Allen St, Philadelphia, PA"
18,164900,3,1,1600,zpid_10570293,"3412 Chippendale Ave, Philadelphia, PA"
18,385000,2,2,1269,zpid_71248786,"1101 Washington Ave UNIT 318, Philadelphia, PA"
18,489900,4,3,2280,zpid_71245807,"8231 Rose Petal Dr, Philadelphia, PA"
